id,pm10,lat,long,wojewodztwo,kod_pocztowy,gmina
2514,57.128264719576755,51.102923999999994,20.858853999999997,świętokrzyskie,26-110,Skarżysko-Kamienna
2515,64.83596529363665,51.11824,20.884649,świętokrzyskie,26-110,Skarżysko-Kamienna
2516,55.668576334263726,51.106570999999995,20.879489,świętokrzyskie,26-110,Skarżysko-Kamienna
2518,53.35116604993086,50.494014,19.427698,śląskie,42-400,Zawiercie
2519,54.862606740740695,50.750502999999995,17.617469,opolskie,49-340,gmina Lewin Brzeski
2520,48.91688817598533,50.751231999999995,17.625159999999997,opolskie,49-340,gmina Lewin Brzeski
2521,52.11608445309353,50.814040999999996,19.136364999999998,śląskie,42-202,Częstochowa
2522,49.43799049158246,53.803568999999996,20.44252,warmińsko-mazurskie,11-041,Olsztyn
2525,59.7610625448132,52.236885,20.994391999999998,mazowieckie,00-864,Warszawa
2526,48.11724230409911,53.775451,20.4699,warmińsko-mazurskie,10-129,Olsztyn
