id,pm10,lat,long,wojewodztwo,kod_pocztowy,gmina
3225,65.53881301768018,49.819137,19.084531,śląskie,43-300,Bielsko-Biała
3228,60.81199169537941,52.161289,22.280168,mazowieckie,08-101,Siedlce
3230,47.0054562976706,53.501998,18.779109,kujawsko-pomorskie,86-300,Grudziądz
3234,27.454820341630924,54.350051,18.628761,pomorskie,80-143,Gdańsk
3235,56.90659555270319,50.301657999999996,19.100309,śląskie,41-250,Czeladź
3236,41.02016978420122,50.704688999999995,17.932838,opolskie,46-020,Opole
3239,43.50101497113996,50.763183,17.931148,opolskie,46-020,gmina Łubniany
3240,58.35328434858799,51.693332,17.459578999999998,wielkopolskie,63-700,gmina Krotoszyn
3242,39.11995119327074,50.685443,17.819713,opolskie,46-073,Opole
3244,34.56305702800603,53.267333,18.982212,kujawsko-pomorskie,87-200,Wąbrzeźno
3245,38.19615617167921,53.492267,18.754409,kujawsko-pomorskie,86-300,Grudziądz
3246,50.398087021821745,51.412344999999995,21.991543999999998,lubelskie,24-100,Puławy
3247,45.72643653198653,52.555403999999996,17.814495,wielkopolskie,62-240,gmina Trzemeszno
3251,35.638542118023345,53.538425,14.549019999999999,zachodniopomorskie,72-010,gmina Police
3252,32.19657186783406,53.592472,14.539463,zachodniopomorskie,72-015,gmina Police
3259,62.36411853486707,49.853553,19.501117,małopolskie,34-100,gmina Wadowice
3260,41.874261162382815,50.622909,17.997446,opolskie,45-681,Opole
3261,55.21884545330977,53.007315999999996,17.73423,kujawsko-pomorskie,89-200,gmina Szubin
3263,47.86286952941967,50.681312,17.950326,opolskie,45-267,Opole
3264,45.48679700854696,50.667114,17.898843,opolskie,45-862,Opole
3266,29.641123878045875,52.977729,22.242044,podlaskie,18-300,Zambrów
3268,41.34529314132786,50.650154,17.925195,opolskie,45-091,Opole
3270,68.04733664146903,50.133579,19.905572,małopolskie,32-087,gmina Zielonki
3271,61.02760439792791,52.358664999999995,20.863256,mazowieckie,05-092,gmina Łomianki
3272,72.71936028957329,49.869262,19.549654999999998,małopolskie,34-124,gmina Wadowice
3274,36.22096566379474,53.431414999999994,18.728109,kujawsko-pomorskie,86-303,Grudziądz
3275,78.99384675503504,50.118933999999996,19.855881999999998,małopolskie,32-085,gmina Wielka Wieś
3279,101.1470115844375,49.872688,19.455386999999998,małopolskie,34-123,gmina Wadowice
3281,58.77663502238497,52.173458,21.069259,mazowieckie,02-921,Warszawa
3282,70.29898704068243,50.097125999999996,19.992093999999998,małopolskie,31-619,Kraków
3283,61.871131822248834,52.349821999999996,21.257883,mazowieckie,05-200,gmina Wołomin
3284,60.55811556504322,51.646297,17.785667,wielkopolskie,63-400,Ostrów Wielkopolski
3285,41.647187843261555,52.848608999999996,17.958292999999998,kujawsko-pomorskie,88-190,gmina Barcin
3286,65.03958512954854,50.032309999999995,19.76156,małopolskie,32-060,gmina Liszki
3287,44.03435104964048,50.663985,21.749088,świętokrzyskie,27-600,Sandomierz
3288,68.27261870985087,50.050373,20.27144,małopolskie,32-007,gmina Niepołomice
3289,58.69462962962962,51.705528,17.419437,wielkopolskie,63-700,gmina Krotoszyn
3291,78.14879335489722,52.350155,21.230245,mazowieckie,05-230,gmina Wołomin
3292,58.13075835143945,52.254703,20.275188,mazowieckie,96-503,Sochaczew
3293,56.25182812500001,50.101192,20.698278,małopolskie,32-825,gmina Borzęcin
3295,58.471792842215294,49.887640999999995,19.575122,małopolskie,34-124,gmina Wadowice
3297,50.02248722731117,52.824419999999996,18.043252,kujawsko-pomorskie,88-192,gmina Barcin
3300,47.2720772454143,51.687968999999995,17.429336,wielkopolskie,63-700,gmina Zduny
3303,26.432115009746603,51.758071,19.455717,łódzkie,90-928,Łódź
3307,37.7072856020942,53.747402,20.445209,warmińsko-mazurskie,10-710,Olsztyn
