id,pm10,lat,long,wojewodztwo,kod_pocztowy,gmina
2526,48.11724230409911,53.775451,20.4699,warmińsko-mazurskie,10-129,Olsztyn
2527,59.62165565439689,49.89188,20.22211,małopolskie,32-420,gmina Gdów
2528,56.92200152950459,50.701698,22.413019,lubelskie,23-300,gmina Janów Lubelski
2530,75.98117776906432,51.661758,19.446448999999998,łódzkie,95-030,gmina Rzgów
2531,54.84756118175401,50.492236999999996,19.441768,śląskie,42-400,Zawiercie
2532,45.746773346637156,53.789488999999996,20.485989999999997,warmińsko-mazurskie,10-295,Olsztyn
2533,34.066313108969695,54.100204,22.913206,podlaskie,16-400,Suwałki
2535,80.26500747156271,52.357077999999994,16.517559,wielkopolskie,64-320,gmina Buk
2536,57.15360655966328,50.183307,18.762302,śląskie,43-178,gmina Ornontowice
2537,47.58117706675156,50.850851999999996,17.462391999999998,opolskie,49-305,Brzeg
2538,52.19408243476708,50.129912999999995,18.903613999999997,śląskie,43-175,gmina Wyry
2539,35.914486332959385,54.090289999999996,22.929685,podlaskie,16-400,Suwałki
2540,68.98267338015883,51.662986,19.491927999999998,łódzkie,95-030,gmina Rzgów
2541,71.31042208316461,49.709083,19.968398999999998,małopolskie,32-433,gmina Lubień
2542,44.85659588307315,49.558730999999995,22.212232,podkarpackie,38-950,Sanok
2543,51.475043916851114,49.97723,20.902841,małopolskie,33-113,gmina Tarnów
2544,44.01905106239505,53.804271,20.40065,warmińsko-mazurskie,11-041,Olsztyn
2547,47.086363397718415,53.791652,20.498542,warmińsko-mazurskie,10-279,Olsztyn
2548,46.31267271136306,53.78141,20.495718999999998,warmińsko-mazurskie,10-414,Olsztyn
2549,53.07374268341907,51.070121,21.058839,świętokrzyskie,27-200,Starachowice
2550,43.540835245310284,53.737091,20.497609999999998,warmińsko-mazurskie,10-692,Olsztyn
2551,43.235193200986075,53.759108999999995,20.47009,warmińsko-mazurskie,10-089,Olsztyn
2552,44.909652336842214,49.706016,22.026287,podkarpackie,36-200,gmina Brzozów
2553,78.39970457033382,49.975528,20.227159,małopolskie,32-420,gmina Gdów
2554,63.54438826952445,49.920471,19.987113,małopolskie,32-040,gmina Siepraw
2555,63.04126625541131,50.036724,21.065044,małopolskie,33-150,gmina Tarnów
2557,52.84446353966151,50.795043,19.157373,śląskie,42-202,Częstochowa
2558,40.36048695630234,49.66999,21.179133999999998,małopolskie,38-320,Gorlice
2559,35.090601945040234,54.09872,22.928283,podlaskie,16-400,Suwałki
2560,47.32066908650928,51.637381999999995,17.822536,wielkopolskie,63-400,Ostrów Wielkopolski
2562,48.93360019209388,50.152561,18.840011,śląskie,43-170,Łaziska Górne
2563,61.905018208554914,50.491439,18.92267,śląskie,42-610,Miasteczko Śląskie
2564,86.87376952373099,49.882079999999995,20.021573999999998,małopolskie,32-406,gmina Siepraw
2565,73.53659050934932,50.084132999999994,19.968415999999998,małopolskie,31-475,Kraków
2566,68.9019818763864,50.202441,19.137204,śląskie,41-400,Mysłowice
2567,60.42584260700947,51.055941999999995,21.056896,świętokrzyskie,27-200,Starachowice
2568,29.366999780142162,54.11935,22.925796,podlaskie,16-400,Suwałki
2570,57.00059842062771,50.903621,18.938329,śląskie,42-100,gmina Kłobuck
2571,42.81488301282054,49.657215,22.078317,podkarpackie,36-207,gmina Brzozów
2572,60.06491755691074,51.649059,19.58436,łódzkie,95-030,gmina Rzgów
2573,54.21656276016649,49.692699,22.024969,podkarpackie,36-200,gmina Brzozów
2574,61.89145794319602,51.655857,17.821396999999997,wielkopolskie,63-400,Ostrów Wielkopolski
2575,54.374993423088846,51.643722,17.814892999999998,wielkopolskie,63-400,Ostrów Wielkopolski
2576,60.01651629072674,49.814521,19.596269,małopolskie,34-146,gmina Stryszów
2577,58.692009450303786,49.832088,19.674519999999998,małopolskie,34-145,gmina Stryszów
2578,58.91444232206381,51.190487,20.407413,świętokrzyskie,26-200,gmina Końskie
2579,51.50035450717082,51.382731,20.273837999999998,łódzkie,26-300,gmina Opoczno
2580,68.79860207057985,50.100009,19.305629,małopolskie,32-590,gmina Libiąż
2581,63.60610223959705,49.937819999999995,20.102377999999998,małopolskie,32-410,gmina Dobczyce
2583,50.26670462275822,50.174296999999996,18.906817999999998,śląskie,43-190,Mikołów
2584,64.10707769585596,50.171428,19.434759,małopolskie,32-540,gmina Trzebinia
2585,60.43935214929513,53.114131,19.054973,kujawsko-pomorskie,87-400,Golub-Dobrzyń
2586,42.433558590142106,54.08871,18.794935,pomorskie,83-110,Tczew
2587,29.1505665468855,54.105647999999995,22.913031999999998,podlaskie,16-400,Suwałki
2588,81.31681473743934,50.191886,18.449092,śląskie,47-430,gmina Kuźnia Raciborska
